(0;0.294714)
(0.0314159;0.459514)
(0.0628319;0.62386)
(0.0942478;0.424604)
(0.125664;0.466165)
(0.15708;0.90089)
(0.188496;0.572956)
(0.219911;0.511071)
(0.251327;0.751432)
(0.282743;0.826668)
(0.314159;0.962411)
(0.345575;1.05586)
(0.376991;0.993192)
(0.408407;0.741958)
(0.439823;0.943257)
(0.471239;1.17503)
(0.502655;0.983542)
(0.534071;0.835808)
(0.565487;1.18062)
(0.596903;0.9867)
(0.628319;0.975535)
(0.659734;1.13479)
(0.69115;1.3141)
(0.722566;1.02232)
(0.753982;1.23355)
(0.785398;1.11612)
(0.816814;1.17077)
(0.84823;1.29697)
(0.879646;1.29956)
(0.911062;1.16388)
(0.942478;1.55548)
(0.973894;1.36024)
(1.00531;1.128)
(1.03673;1.35245)
(1.06814;1.38223)
(1.09956;1.48328)
(1.13097;1.55987)
(1.16239;1.53744)
(1.19381;1.52664)
(1.22522;1.55599)
(1.25664;1.43641)
(1.28805;1.62312)
(1.31947;1.3794)
(1.35088;1.22641)
(1.3823;1.63484)
(1.41372;1.32787)
(1.44513;1.3375)
(1.47655;1.53917)
(1.50796;1.49448)
(1.53938;1.58818)
(1.5708;1.69374)
(1.60221;1.71886)
(1.63363;1.42517)
(1.66504;1.3491)
(1.69646;1.59545)
(1.72788;1.35505)
(1.75929;1.60328)
(1.79071;1.63974)
(1.82212;1.34114)
(1.85354;1.4365)
(1.88496;1.29604)
(1.91637;1.36042)
(1.94779;1.36808)
(1.9792;1.65913)
(2.01062;1.44756)
(2.04204;1.16445)
(2.07345;1.5714)
(2.10487;1.49905)
(2.13628;1.29035)
(2.1677;1.54163)
(2.19911;1.47856)
(2.23053;1.45673)
(2.26195;1.23477)
(2.29336;1.23983)
(2.32478;1.07619)
(2.35619;1.16317)
(2.38761;1.10102)
(2.41903;1.01145)
(2.45044;1.35677)
(2.48186;0.943795)
(2.51327;0.865899)
(2.54469;0.953402)
(2.57611;0.87074)
(2.60752;0.866168)
(2.63894;0.956703)
(2.67035;0.706194)
(2.70177;1.12549)
(2.73319;0.98476)
(2.7646;0.962868)
(2.79602;1.02484)
(2.82743;0.997411)
(2.85885;0.659567)
(2.89027;0.578976)
(2.92168;0.477526)
(2.9531;0.537449)
(2.98451;0.829324)
(3.01593;0.851933)
(3.04734;0.687228)
(3.07876;0.652981)
(3.11018;0.626676)
-----------------------------
(0;0.265933)
(0.0314159;0.313744)
(0.0628319;0.653765)
(0.0942478;0.809407)
(0.125664;0.733039)
(0.15708;0.529584)
(0.188496;0.567555)
(0.219911;0.469587)
(0.251327;0.973488)
(0.282743;0.579641)
(0.314159;1.03086)
(0.345575;0.793506)
(0.376991;0.812536)
(0.408407;0.962588)
(0.439823;0.747688)
(0.471239;1.02376)
(0.502655;0.897697)
(0.534071;1.05706)
(0.565487;1.01312)
(0.596903;0.828972)
(0.628319;1.22655)
(0.659734;1.25436)
(0.69115;1.26073)
(0.722566;1.07589)
(0.753982;1.27397)
(0.785398;1.33419)
(0.816814;1.3955)
(0.84823;1.21719)
(0.879646;1.16569)
(0.911062;1.12878)
(0.942478;1.54397)
(0.973894;1.5331)
(1.00531;1.24391)
(1.03673;1.19984)
(1.06814;1.20754)
(1.09956;1.37004)
(1.13097;1.18701)
(1.16239;1.31445)
(1.19381;1.64148)
(1.22522;1.46133)
(1.25664;1.3799)
(1.28805;1.35221)
(1.31947;1.30963)
(1.35088;1.29735)
(1.3823;1.52415)
(1.41372;1.73018)
(1.44513;1.56122)
(1.47655;1.28456)
(1.50796;1.47078)
(1.53938;1.45749)
(1.5708;1.47927)
(1.60221;1.58839)
(1.63363;1.65206)
(1.66504;1.26112)
(1.69646;1.58619)
(1.72788;1.58301)
(1.75929;1.32065)
(1.79071;1.41718)
(1.82212;1.59521)
(1.85354;1.23503)
(1.88496;1.46942)
(1.91637;1.60624)
(1.94779;1.31793)
(1.9792;1.50137)
(2.01062;1.46352)
(2.04204;1.34386)
(2.07345;1.29081)
(2.10487;1.54555)
(2.13628;1.51687)
(2.1677;1.24414)
(2.19911;1.36894)
(2.23053;1.50532)
(2.26195;1.3234)
(2.29336;1.04351)
(2.32478;1.0253)
(2.35619;1.00565)
(2.38761;1.02616)
(2.41903;1.24294)
(2.45044;1.31282)
(2.48186;0.985284)
(2.51327;1.04019)
(2.54469;0.825492)
(2.57611;0.857148)
(2.60752;1.16762)
(2.63894;0.964108)
(2.67035;0.738165)
(2.70177;1.14704)
(2.73319;0.67163)
(2.7646;0.739085)
(2.79602;0.665837)
(2.82743;0.791903)
(2.85885;0.95679)
(2.89027;0.594121)
(2.92168;0.72815)
(2.9531;0.67473)
(2.98451;0.498258)
(3.01593;0.701062)
(3.04734;0.680892)
(3.07876;0.714382)
(3.11018;0.536133)
-----------------------------
